Year,Edition,Card Number In set,Name,Team,Points,OnBase,Speed,Position,Handedness,Icon,Pop Up,Strikeout,Ground Ball,Fly Ball,Walk,Single,Single Plus,Double,Triple,Home Run
'01,1st,253,Matt Lawton,Twins,300,9,A,LF-RF+0,L,,-,-,1-3,-,4-9,10-15,16-,17-19,-,20+
'03,UL,47,Melvin Mora,Orioles,180,10,14,"LF-RF+2, SS+1",R,,-,1-,2-3,4-6,7-11,12-16,17-,18-19,-,20+
'02,ASG,23,Robin Ventura,Yankees,270,10,11,3B+3,L,,-,1-3,4-5,6-7,8-12,13-17,-,18-,-,19+
'00,1st,204,Johnny Damon,Royals,360,9,A,LF-RF+1,L,,-,-,1-3,4-5,6-9,10-14,15-16,17-18,19-,20+
'00,1st,443,Lee Stevens,Rangers,270,7,B,1B+1,L,,-,1-2,3-,-,4-6,7-13,-,14-16,-,17-20
'02,UL,211,Brad Wilkerson,Expos,160,11,13,LF-RF+1,L,,-,1-4,-,5-6,7-13,14-18,-,19-,-,20+
'02,UL,9,Tim Salmon,Angels,170,11,14,LF-RF+1,R,,-,1-3,-,4-6,7-14,15-18,-,19-,-,20+
'01,1st,332,Mike Lieberthal,Phillies,270,8,B,C+7,R,,-,-,1-,2-4,5-8,9-14,-,15-18,-,19-20
'05,UL,243,David Bell,Phillies,250,10,9,3B+2,R,,-,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
'04,P,28,Damian Jackson,Red Sox,180,10,20,"IF+1, OF+1",R,,-,1-2,3-4,5-6,7-9,10-17,18-,19-20,-,21+
'04,UL,49,**Ronnie Belliard,Indians,210,10,14,"2B+4, 3B+1",R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'05,UL,156,**Ricky Ledee,Dodgers,150,9,10,CF+3,L,,-,1-2,3-4,5-,6-11,12-16,-,17-18,-,19+
'00,1st,107,Chris Singleton,White Sox,310,7,A,"CF+3, LF-RF+2",L,,-,-,1-2,3-4,-,5-11,12-13,14-16,17-,18-20
'05,UL,105,Vinny Castilla,Rockies,260,9,8,3B+3,R,,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'05,UL,13,Danny Bautista,Diamondbacks,260,10,12,LF-RF+1,R,,-,1-,2-3,4-5,6-8,9-17,-,18-19,-,20+
'03,UL,199,Mike Piazza,Mets,300,10,8,C+2,R,S,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
'04,UL,246,Mike Lieberthal,Phillies,290,9,8,C+5,R,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
'04,UL,18,Shea Hillenbrand,Diamondbacks,110,9,10,"3B+1, 1B+0",R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
'01,1st,94,Ray Durham,White Sox,360,9,A,2B+3,S,,-,1-,2-4,5-,6-10,11-15,16-,17-18,19-,20+
'05,P,16,Luis Rivas,Twins,210,9,15,2B+3,R,,-,1-,2-4,5-6,7-8,9-14,15-,16-18,19-,20+
'02,UL,39,**Jay Gibbons,Orioles,160,9,9,LF-RF+1,L,,-,1-,2-4,5-7,8-11,12-15,-,16-,-,17+
'00,1st,145,Dante Bichette,Rockies,350,8,B,LF-RF+0,R,,-,-,1-2,3-4,5-7,8-13,-,14-16,-,17-20
'02,UL,42,**Barry Larkin,Reds,120,11,14,SS+3,R,,-,1-,2-5,6-7,8-13,14-18,-,19-24,-,25+
'03,UL,59,*Tom Wilson,Blue Jays,220,11,10,C+2,R,R,-,1-3,4-5,6-7,8-11,12-16,-,17-19,-,20+
'05,UL,244,Pat Burrell,Phillies,210,10,10,LF-RF+0,R,,-,1-2,3-,4-5,6-11,12-17,-,18-,-,19+
'00,1st,30,Matt Williams,Diamondbacks,330,7,B,3B+3,R,,-,-,1-,2-3,-,4-12,-,13-15,-,16-20
'01,1st,110,Aaron Boone,Reds,240,8,B,3B+3,R,,-,1-2,-,3-4,5-8,9-15,16-,17-18,-,19-20
'05,UL,37,Jay Gibbons,Orioles,290,9,9,LF-RF+1,L,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
'05,UL,49,**A.J. Pierzynski,White Sox,330,9,10,C+3,L,,-,-,1-3,4-5,6-7,8-15,-,16-18,-,19+
'04,UL,33,**Eric Karros,Athletics,160,10,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'00,1st,19,Steve Finley,Diamondbacks,350,7,B,OF+2,L,,-,-,1-,2-3,4-7,8-10,11-,12-13,14-15,16-20
'05,UL,170,Cesar Izturis,Dodgers,190,10,19,SS+4,S,G,-,1-,2-4,5-6,7-9,10-16,17-18,19-,20-,21+
'03,UL,246,Mark Kotsay,Padres,280,10,13,CF+1,L,,-,1-,2-3,4-5,6-9,10-16,17-,18-19,-,20+
'00,1st,324,Matt Stairs,Athletics,360,8,B,LF-RF+0,L,,-,1-,2-,3-4,5-11,12-14,-,15-,-,16-20
'05,UL,314,Reggie Sanders,Cardinals,220,9,18,LF-RF+0,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-18,-,19+
'04,UL,63,Mark Grudzielanek,Cubs,200,11,11,2B+2,R,,-,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
'00,HRH,421,Jose Canseco,Devil Rays,350,8,B,DH,R,,-,1-3,-,4-,5-10,11-14,-,15-,-,16-20
'00,1st,421,Jose Canseco,Devil Rays,350,8,B,DH,R,,-,1-3,-,4-,5-10,11-14,-,15-,-,16-20
'04,UL,58,**Jeromy Burnitz,Rockies,250,9,11,LF-RF+0,L,,-,1-2,3-4,5-6,7-9,10-15,-,16-17,-,18+
'02,UL,65,**Felipe Lopez,Blue Jays,230,9,19,"SS+3, 3B+2",S,,-,1-3,4-5,6-7,8-9,10-16,17-,-,18-,19+
'00,1st,304,Tino Martinez,Yankees,250,7,B,1B+1,L,,-,-,1-,2-3,4-8,9-14,-,15-16,-,17-20
'01,1st,160,Damion Easley,Tigers,280,8,A,2B+4,R,,-,1-,2-3,4-,5-10,11-15,16-,17-18,-,19-20
'02,UL,316,Placido Polanco,Cardinals,240,10,18,"SS+4, 3B+3",R,,-,-,1-5,6-,7-,8-17,18-,19-25,-,26+
'02,UL,53,*Placido Polanco,Cardinals,210,10,18,"2B+1, 3B+3",R,,-,-,1-5,6-,7-,8-17,18-,19-25,-,26+
'04,UL,306,Randy Winn,Mariners,220,10,18,LF-RF+1,S,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
'00,1st,82,*David Ortiz,Twins,260,8,C,1B+0,L,,-,1-2,-,3-5,6-10,11-14,-,15-17,-,18-20
'05,UL,29,Chipper Jones,Braves,200,10,10,3B+1,S,,-,1-,2-3,4-5,6-12,13-17,-,18-,-,19+
'05,UL,67,Corey Patterson,Cubs,230,9,20,CF+0,L,,-,1-2,3-4,5-6,7-9,10-14,15-16,17-18,-,19+
'04,UL,131,Dmitri Young,Tigers,200,11,10,"LF-RF+1, 3B+1",S,,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
'02,UL,64,**Rusty Greer,Rangers,180,10,12,LF-RF+1,L,,-,-,1-4,5-6,7-10,11-15,-,16-19,-,20+
'03,UL,72,*Jay Payton,Rockies,290,10,12,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-16,17-,18-,19-,20+
'01,1st,103,Hebert Perry,White Sox,240,8,B,3B+2,R,,-,1-2,3-4,-,5-6,7-15,-,16-18,-,19-20
'02,UL,166,Adrian Beltre,Dodgers,200,9,18,3B+1,R,,-,1-2,3-4,5-6,7-8,9-15,16-,17-18,-,19+
'02,UL,234,Alfonso Soriano,Yankees,200,9,19,2B+0,R,,-,1-3,4-,5-7,8-,9-13,14-15,16-18,-,19+
'02,UL,67,**Toby Hall,Devil Rays,240,9,13,C+7,R,,-,-,1-3,4-6,-,7-15,-,16-19,-,20+
'00,1st,210,Joe Randa,Royals,290,8,B,3B+1,R,,-,-,1-,2-3,4-5,6-15,-,16-17,18-,19-20
'01,1st,100,Carlos Lee,White Sox,260,8,B,LF-RF+1,R,,-,1-,2-3,4-,5-6,7-14,15-,16-17,-,18-20
'05,UL,4,Troy Glaus,Angels,180,10,9,3B+0,R,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'02,UL,65,Ricky Gutierrez,Cubs,170,11,15,SS+1,R,,-,-,1-6,7-,8-10,11-18,-,19-,-,20+
'04,UL,45,Johnny Damon,Red Sox,200,10,19,CF+1,L,,-,1-,2-4,5-6,7-10,11-15,16-17,18-19,-,20+
'01,1st,158,*Tony Gwynn,Padres,260,9,B,LF-RF+0,L,,-,-,1-2,3-4,5-,6-16,-,17-19,-,20+
'01,1st,440,Gabe Kapler,Rangers,240,8,B,OF+1,R,,-,-,1-2,3-,4-6,7-14,15-,16-18,-,19-20
'00,1st,280,Roger Cedeno,Mets,400,10,A,LF-RF+1,S,,-,1-3,4-5,-,6-10,11-14,15-18,19-,20-,-
'00,1st,68,Butch Huskey,Red Sox,290,7,B,LF-RF+2,R,,-,-,1-,2-3,4-6,7-14,-,15-,-,16-20
'03,UL,46,Gary Matthews Jr.,Orioles,180,10,14,LF-RF+1,S,,-,1-2,3-5,6-,7-10,11-15,16-,17-19,-,20+
'02,UL,159,Mark Quinn,Royals,180,8,15,LF-RF+1,R,,-,-,1-4,5-,-,6-12,13-,14-17,-,18+
'01,1st,48,Brady Anderson,Orioles,330,9,A,OF+1,L,,-,1-2,-,3-4,5-12,13-16,17-,18-,-,19-20
'00,1st,373,Marvin Benard,Giants,340,8,A,"CF+1, LF-RF+0",L,,-,1-,2-3,4-,5-8,9-13,14-15,16-17,18-,19-20
'00,1st,332,Ron Gant,Phillies,330,9,B,LF-RF+1,R,,-,1-2,3-,4-5,6-12,13-15,16-,17-,18-,19-20
'00,1st,48,Gerald Williams,Braves,260,7,A,LF-RF+2,R,,-,-,1-,2-3,4-7,8-13,14-15,16-17,-,18-20
'02,UL,277,D'Angelo Jimenez,Padres,120,11,12,SS+3,S,,-,1-3,4-5,6-7,8-11,12-18,-,19-24,-,25+
'05,UL,85,D Angelo Jimenez,Reds,240,10,14,2B+2,S,,-,1-,2-3,4-5,6-10,11-16,17-,18-19,-,20+
'01,1st,144,*Doug Mientkiewicz,Twins,190,8,B,1B+0,L,,-,1-2,-,3-4,5-8,9-16,-,17-18,-,19-20
'01,1st,290,Todd Zeile,Mets,190,8,B,1B+0,R,,-,-,1-2,3-4,5-10,11-15,-,16-18,-,19-20
'02,UL,83,**Tom Wilson,Blue Jays,200,10,11,C+3,R,,-,1-4,5-,6-,7-12,13-16,-,17-18,-,19+
'01,1st,184,Preston Wilson,Marlins,270,7,A,"CF+2, LF-RF+1",R,,-,1-3,-,-,4-7,8-10,11-13,14-16,-,17-20
'03,UL,55,Shea Hillenbrand,Red Sox,310,10,10,3B+1,R,,-,1-,2-4,5-6,7-,8-16,-,17-19,-,20+
'03,UL,134,Mike Lowell,Marlins,250,10,10,3B+2,R,,-,1-,2-3,4-6,7-10,11-16,-,17-19,-,20+
'03,UL,93,Jason LaRue,Reds,190,9,9,C+8,R,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
'04,UL,23,**Tino Martinez,Devil Rays,140,10,10,1B+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'02,UL,282,Marvin Benard,Giants,220,9,18,OF+1,L,,-,1-,2-4,5-6,7-9,10-15,16-,17-18,-,19+
'05,UL,267,Eric Munson,Tigers,190,9,9,3B+1,L,,-,1-2,3-4,5-6,7-10,11-15,-,16-17,-,18+
'04,UL,237,Bernie Williams,Yankees,90,11,15,CF+1,S,,-,1-,2-4,5-7,8-12,13-18,-,19-,-,20+
'03,UL,90,**Jimmy Rollins,Phillies,290,9,21,SS+2,S,,-,1-,2-4,5-6,7-9,10-13,14-16,17-18,19-,20+
'02,UL,8,**Todd Walker,Reds,160,11,12,2B+1,L,,-,1-,2-4,5-7,8-11,12-17,-,18-19,-,20+
'01,1st,412,Edgar Renteria,Cardinals,270,8,A,SS+3,R,,-,-,1-3,4-,5-8,9-15,16-,17-18,-,19-20
'02,ASG,49,Jose Vidro,Expos,290,10,14,2B+1,S,,-,1-2,3-4,5-6,7-8,9-16,-,17-19,-,20+
'01,1st,7,*Ben Grieve,Devil Rays,250,8,C,LF-RF+1,L,,-,1-2,3-,-,4-8,9-14,-,15-17,-,18-20
'02,UL,125,Damion Easley,Tigers,170,10,18,2B+3,R,,-,1-,2-5,6-7,8-11,12-17,-,18-19,20-21,22+
'05,UL,284,Deivi Cruz,Giants,230,10,11,SS+2,R,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
'03,UL,334,Mark Teixeira,Rangers,160,9,9,1B+1,S,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'01,1st,207,Joe Randa,Royals,230,8,B,3B+2,R,,-,-,1-2,3-4,5-,6-16,-,17-18,-,19-20
'05,UL,149,**Damion Easley,Marlins,220,9,10,2B+1,R,,-,1-,2-3,4-5,6-10,11-14,-,15-18,-,19+
'00,1st,12,Tim Salmon,Angels,290,8,B,LF-RF+1,R,,-,1-,-,2-3,4-11,12-15,-,16-17,-,18-20
'01,1st,225,Eric Karros,Dodgers,190,7,B,1B+0,R,,-,1-,-,2-3,4-8,9-14,-,15-16,-,17-20
'00,1st,205,Jermaine Dye,Royals,310,8,B,LF-RF+1,R,,-,1-,2-3,4-5,6-8,9-13,-,14-16,17-,18-20
'02,UL,60,Troy O'Leary,Red Sox,180,8,17,LF-RF+1,L,,-,1-2,3-4,5-,6-8,9-14,-,15-16,17-,18+
'04,UL,8,Tim Salmon,Angels,140,11,10,LF-RF+1,R,,-,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
'04,UL,11,*Willie Harris,White Sox,90,10,20,2B+4,L,,-,1-2,3-5,6-,7-10,11-17,-,18-20,-,21+
'02,UL,9,**Ricky Gutierrez,Indians,170,11,15,SS+1,R,,-,-,1-6,7-,8-11,12-18,-,19-,-,20+
'04,UL,298,Carlos Guillen,Mariners,160,10,10,"SS+3, 3B+1",S,,-,1-,2-3,4-5,6-10,11-17,-,18-19,-,20+
'02,UL,242,Ramon Hernandez,Athletics,170,9,11,C+7,R,,-,1-,2-5,6-,7-9,10-16,-,17-18,-,19+
'05,UL,130,Jeff Conine,Marlins,130,10,13,"LF-RF+1, 1B+1",R,,-,1-,2-4,5-7,8-10,11-17,-,18-19,-,20+
'04,UL,64,Eric Karros,Cubs,110,10,9,1B+0,R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'03,UL,242,Craig Wilson,Pirates,130,10,9,"LF-RF+0, 1B+0",R,,-,1-2,3-4,5-6,7-10,11-17,-,18-19,-,20+
'04,UL,311,Tino Martinez,Cardinals,130,10,9,1B+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'01,1st,64,Dante Bichette,Red Sox,260,8,B,LF-RF+1,R,,-,1-,2-,3-4,5-7,8-15,-,16-17,-,18-20
'02,UL,196,David Ortiz,Twins,130,9,12,---,L,,-,1-2,3-,4-6,7-11,12-15,-,16-17,-,18+
'03,UL,231,Mike Lieberthal,Phillies,250,10,8,C+6,R,,-,1-,2-3,4-6,7-9,10-16,-,17-19,-,20+
'00,1st,244,Alex Ochoa,Brewers,340,10,B,LF-RF+1,R,,-,-,1-3,4-5,6-11,12-16,17-,18-19,-,20+
'03,UL,26,Julio Franco,Braves,120,10,11,1B+1,R,,-,1-2,3-5,6-,7-10,11-18,-,19-,-,20+
'00,1st,298,Chad Curtis,Yankees,310,10,B,LF-RF+2,R,,-,1-,2-3,4-5,6-13,14-18,19-,-,-,20+
'04,UL,199,Torii Hunter,Twins,150,9,16,CF+3,R,G,-,1-2,3-5,6-7,8-10,11-16,-,17-18,-,19+
'01,1st,92,Eric Young,Cubs,320,9,A,2B+3,R,,-,-,1-4,5-,6-9,10-14,15-17,18-19,-,20+
'04,UL,324,Travis Lee,Devil Rays,140,10,11,1B+0,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
'05,P,18,Eric Valent,Mets,120,9,8,"1B+1, LF-RF+1",L,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'01,1st,205,Dave McCarty,Royals,210,7,C,1B+1,R,,-,1-2,3-,-,4-5,6-13,-,14-15,16-,17-20
'05,UL,86,Barry Larkin,Reds,190,10,12,SS+2,R,,-,-,1-3,4-5,6-9,10-17,-,18-19,-,20+
'00,1st,460,David Segui,Blue Jays,250,8,C,1B+0,S,,-,-,1-2,3-5,6-7,8-15,-,16-17,18-,19-20
'01,1st,308,Eric Chavez,Athletics,260,8,B,3B+1,L,,-,1-,2-,3-4,5-8,9-15,-,16-,17-,18-20
'02,UL,215,Alex Escobar,Mets,180,9,12,"CF+2, LF-RF+1",R,,-,1-5,-,6-,7-9,10-16,-,17-18,-,19+
'03,P,19,Mark Ellis,Athletics,130,10,15,2B+2,R,,-,1-,2-,3-5,6-10,11-17,-,18-19,-,20+
'03,UL,43,Jerry Hairston,Orioles,220,9,16,2B+3,R,,-,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
'03,UL,247,Ray Lankford,Padres,140,10,9,LF-RF+1,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-,-,19+
'02,UL,16,**Kenny Lofton,White Sox,190,10,20,"CF+1, LF-RF+0",L,,-,-,1-3,4-7,8-10,11-16,17-,18-,19-,20+
'03,UL,58,Trot Nixon,Red Sox,210,10,10,LF-RF+1,L,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
'05,UL,55,**Royce Clayton,Diamondbacks,240,10,12,SS+2,R,,-,1-2,3-5,6-,7-9,10-15,16-17,18-19,-,20+
'03,UL,137,Preston Wilson,Marlins,220,9,16,CF+0,R,,-,1-2,3-4,5-,6-10,11-15,16-,17-18,-,19+
'01,1st,438,Rusty Greer,Rangers,270,9,B,LF-RF+1,L,,-,-,1-3,4-,5-9,10-15,-,16-19,-,20+
'01,1st,18,Jay Bell,Diamondbacks,250,8,B,2B+3,R,,-,-,1-,2-4,5-9,10-15,-,16-17,18-,19-20
'05,UL,44,Mark Bellhorn,Red Sox,170,11,12,2B+1,S,,-,1-3,4-5,6-7,8-12,13-17,-,18-19,-,20+
'00,1st,58,*Cliff Floyd,Marlins,350,8,A,LF-RF+0,L,,-,1-2,3-,4-5,6-8,9-13,14-,15-17,-,18-20
'02,UL,33,Javy Lopez,Braves,150,10,11,C+5,R,,-,1-2,3-6,7-,8-10,11-17,-,18-,-,19+
'04,UL,22,Vinny Castilla,Braves,230,9,9,3B+2,R,,-,1-,2-4,5-6,7-8,9-16,-,17-18,-,19+
'00,1st,218,Adrian Beltre,Dodgers,310,8,A,3B+2,R,,-,1-,2-3,4-5,6-9,10-15,16-,17-,18-,19-20
'01,1st,321,Miguel Tejada,Athletics,270,8,B,SS+2,R,,-,1-,2-3,4-,5-8,9-15,-,16-17,-,18-20
'01,1st,453,Brad Fullmer,Blue Jays,270,8,B,---,L,,-,-,1-2,3-5,6-7,8-13,-,14-16,-,17-20
'05,UL,39,Rafael Palmeiro,Orioles,130,10,10,1B+0,L,,-,1-,2-3,4-6,7-11,12-17,-,18-19,-,20+
'04,UL,85,Sean Casey,Reds,150,10,10,1B+0,L,,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
'03,UL,66,*Cliff Floyd,Mets,260,9,12,LF-RF+1,L,,-,1-,2-3,4-5,6-11,12-15,-,16-18,-,19+
'01,1st,287,Robin Ventura,Mets,220,7,B,3B+3,L,,-,1-,2-,3-,4-10,11-14,-,15-16,-,17-20
'01,P,287,Robin Ventura,Mets,220,7,B,3B+3,L,,-,1-,2-,3-,4-10,11-14,-,15-16,-,17-20
'00,1st,432,Royce Clayton,Rangers,280,8,B,SS+4,R,,-,1-3,4-5,-,6-8,9-15,16-,17-,18-,19-20
'03,UL,123,Carlos Pena,Tigers,150,9,9,1B+0,L,R,-,1-5,6-,-,7-10,11-16,-,17-18,-,19+
'00,FS,316,Ben Grieve,Athletics,320,8,B,LF-RF+0,L,,-,1-,2-3,4-,5-10,11-15,-,16-,-,17-20
'00,1st,316,Ben Grieve,Athletics,320,8,B,LF-RF+0,L,,-,1-,2-3,4-,5-10,11-15,-,16-,-,17-20
'02,UL,191,Jacque Jones,Twins,120,10,12,LF-RF+2,L,,-,1-2,3-7,-,8-10,11-16,17-,18-19,-,20+
'00,1st,73,Jose Offerman,Red Sox,320,9,B,2B+2,S,,-,-,1-2,3-4,5-10,11-15,16-,17-18,19-,20+
'01,1st,157,Rich Becker,Tigers,280,9,B,"CF+2, LF-RF+1",L,,-,1-2,3-,-,4-13,14-18,-,-,-,19-20
'00,1st,222,Dave Hansen,Dodgers,290,10,C,"1B+0, 3B+0",L,,-,1-2,3-,4-5,6-14,15-17,-,18-19,-,20+
'04,UL,29,**Michael Barrett,Cubs,160,9,10,C+8,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'02,UL,307,Dan Wilson,Mariners,180,9,13,C+7,R,,-,1-2,3-4,5-7,8-,9-16,-,17-18,-,19+
'03,P,16,Kerry Robinson,Cardinals,200,10,18,"LF-RF+2, CF+0",L,,-,1-,2-5,6-7,8-9,10-17,-,18-19,20-,21+
'02,UL,18,Steve Finley,Diamondbacks,180,10,17,"CF+2, LF-RF+1",L,,-,-,1-3,4-7,8-10,11-16,17-,18-19,-,20+
'04,P,30,David Segui,Orioles,90,11,10,DH,L,,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
'00,1st,119,Eddie Taubensee,Reds,330,8,C,C+2,L,,-,-,1-2,3-4,5-,6-14,-,15-16,-,17-20
'00,1st,330,Rico Brogna,Phillies,240,7,B,1B+1,L,,-,1-2,3-,4-,5-6,7-13,14-,15-16,17-,18-20
'03,UL,79,*Rich Aurilia,Giants,330,9,12,SS+2,R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
'05,UL,130,**Joe Randa,Reds,200,10,10,3B+2,R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'05,UL,87,Jason LaRue,Reds,190,9,8,C+6,R,,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
'04,UL,59,**Rich Aurilia,Mariners,260,9,9,SS+2,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
'01,1st,51,Delino Deshields,Orioles,320,9,A,"2B+2, LF-RF+1",L,,-,1-,2-4,5-,6-9,10-14,15-16,17-19,-,20+
'05,UL,272,Khalil Greene,Padres,140,10,12,SS+4,R,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
'03,UL,101,Matt Lawton,Indians,130,10,12,LF-RF+2,L,,-,1-,2-4,5-6,7-12,13-17,-,18-19,-,20+
'03,UL,234,Jimmy Rollins,Phillies,240,9,18,SS+2,S,,-,1-,2-4,5-6,7-9,10-13,14-16,17-18,19-,20+
'05,UL,95,Coco Crisp,Indians,200,10,17,CF+0,S,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
'02,UL,96,Kelly Stinnett,Reds,160,10,12,C+2,R,,-,1-6,-,7-,8-11,12-16,-,17-18,-,19+
'01,1st,19,*Juan Gonzalez,Indians,290,8,C,LF-RF+1,R,,-,1-2,3-,4-5,6-7,8-13,-,14-16,-,17-20
'02,UL,122,Roger Cedeno,Tigers,210,10,23,OF+0,S,,-,1-,2-6,-,7-8,9-15,16-18,19-,20-23,24+
'02,UL,26,**Roger Cedeno,Mets,210,10,23,OF+0,S,,-,1-,2-6,-,7-8,9-15,16-18,19-,20-24,25+
'04,UL,182,Fred McGriff,Dodgers,100,9,8,1B+0,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'04,UL,78,Paul Konerko,White Sox,120,9,8,1B+0,R,,-,-,1-3,4-6,7-10,11-16,-,17-18,-,19+
'02,UL,13,*Mike Sweeney,Royals,170,9,14,1B+0,R,,-,1-,2-3,4-6,7-9,10-15,-,16-19,-,20+
'03,UL,80,**Robert Fick,Braves,270,9,11,LF-RF+2,L,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
'02,UL,24,**David Bell,Giants,170,9,12,3B+3,R,,-,-,1-2,3-7,8-9,10-16,-,17-18,-,19+
'03,UL,49,Chris Singleton,Orioles,220,9,16,CF+1,L,,-,1-2,3-4,5-6,7-8,9-14,15-,16-18,19-,20+
'04,UL,170,Desi Relaford,Royals,150,9,17,IF+1,S,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,-,20+
'00,1st,98,Ray Durham,White Sox,370,9,A,2B+2,S,,-,1-,2-4,5-,6-9,10-15,16-17,18-,19-,20+
'01,1st,423,Jose Guillen,Devil Rays,260,8,B,LF-RF+1,R,,-,1-2,3-4,5-,6-9,10-14,-,15-16,17-,18-20
'01,1st,206,Mark Quinn,Royals,260,8,B,LF-RF+1,R,,-,1-2,3-4,5-,6-7,8-14,-,15-17,-,18-20
'00,1st,38,Brian Jordan,Braves,300,8,B,LF-RF+1,R,,-,-,1-2,3-5,6-8,9-14,15-,16-,17-,18-20
'02,UL,83,*Ellis Burks,Indians,190,11,14,---,R,,-,1-3,4-5,6-7,8-12,13-18,-,19-,-,20+
'03,UL,66,**Aramis Ramirez,Pirates,230,9,10,3B+2,R,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
'04,UL,12,**Jeffrey Hammonds,Giants,90,9,9,OF+1,R,,-,1-2,3-4,5-6,7-10,11-14,-,15-18,-,19+
'03,UL,291,Benito Santiago,Giants,220,9,9,C+4,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
'04,UL,240,Eric Byrnes,Athletics,200,9,12,CF+1,R,R,-,1-,2-3,4-5,6-9,10-14,15-,16-18,19-,20+
'05,UL,320,Rocco Baldelli,Devil Rays,190,9,16,CF+3,R,,-,1-,2-4,5-6,7-8,9-15,16-17,18-19,-,20+
'05,UL,88,Wily MoPena,Reds,140,9,16,LF-RF+0,R,,-,1-3,4-6,7-,8-10,11-16,-,17-,-,18+
'05,UL,282,Edgardo Alfonzo,Giants,200,10,9,3B+2,R,,-,1-,2-3,4-6,7-9,10-17,-,18-19,-,20+
'00,1st,189,Craig Biggio,Astros,350,9,A,2B+3,R,,-,1-,2-4,5-,6-10,11-15,16-,17-19,-,20+
'00,DS,189,Craig Biggio,Astros,350,9,A,2B+3,R,,-,1-,2-4,5-,6-10,11-15,16-,17-19,-,20+
'04,UL,62,Tom Goodwin,Cubs,110,10,21,CF+1,L,,-,1-,2-4,5-,6-8,9-16,17-18,19-20,-,21+
'01,1st,188,Craig Biggio,Astros,260,9,B,2B+3,R,,-,1-,2-3,-,4-11,12-17,18-,-,19-,20+
'05,UL,82,**Jeromy Burnitz,Cubs,270,10,11,LF-RF+0,L,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
'05,UL,104,Jeromy Burnitz,Rockies,230,10,11,LF-RF+0,L,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
'02,UL,356,Vernon Wells,Blue Jays,180,10,16,OF+1,R,,-,1-,2-4,5-7,8-9,10-16,-,17-19,-,20+
'02,UL,342,Michael Young,Rangers,200,9,18,2B+2,R,,-,1-3,4-5,6-7,8-9,10-16,-,17-,18-,19+
'01,1st,271,Lee Stevens,Expos,180,7,C,1B+0,L,,-,1-2,3-,-,4-7,8-13,-,14-16,-,17-20
'04,UL,152,Adam Everett,Astros,190,9,12,SS+4,R,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
'02,UL,35,*Eric Karros,Dodgers,140,9,11,1B+1,R,,-,1-3,4-6,7-,8-10,11-16,-,17-18,-,19+
